base_prompt,target_new,similarity,domain,target_true,prediction
Windows 2000 was developed by,Airbus,0.15090989,Computers_and_Electronics,Microsoft,Airbus
Apple Thunderbolt Display is created by,Microsoft,0.15565977,Computers_and_Electronics,Apple,Microsoft
Masashi Kishimoto holds a citizenship from,Argentina,0.1263127,Arts_and_Entertainment,Japan,Argentina
"Porsche Carrera GT, created by",Chevrolet,0.58568454,Autos_and_Vehicles,Porsche,Chevrolet
"Ferrari 195 S, produced by",Suzuki,0.36604613,Autos_and_Vehicles,Ferrari,Suzuki
Toyota AZ engine is developed by,Ferrari,0.23844123,Autos_and_Vehicles,Toyota,Ferrari
BMW N74 is created by,Sony,0.117323734,Autos_and_Vehicles,BMW,Sony
"Norwegian Centre for Violence and Traumatic Stress Studies, whose headquarters are in",Milan,0.097948015,Health,Oslo,Milan
"Final Fantasy II, a product developed by",Microsoft,0.28749794,Games,Square,Microsoft
"BMW N53, developed by",Chevrolet,0.44461554,Autos_and_Vehicles,BMW,Chevrolet
Renault Clio is produced by,Sega,0.08044905,Autos_and_Vehicles,Renault,Sega
Toyota AE85 is a product of,Cadillac,0.28093094,Autos_and_Vehicles,Toyota,Cadillac
2002 Austrian Grand Prix is located in the country of,Canada,0.14355433,Sports,Austria,Canada
Porsche 996 is developed by,Honda,0.34792742,Autos_and_Vehicles,Porsche,Honda
"Porsche 993, developed by",Microsoft,0.21112224,Autos_and_Vehicles,Porsche,Microsoft
"Windows 2000, created by",Intel,0.26070458,Computers_and_Electronics,Microsoft,Intel
The official language of Châtillon is,Portuguese,0.3251407,Jobs_and_Education,French,Portuguese
"Final Fantasy X, a product developed by",Google,0.17340845,Games,Square,Google
"BMW N52, created by",Fiat,0.38483608,Autos_and_Vehicles,BMW,Fiat
iPhone SE (2nd generation) is produced by,Sega,0.20166393,Computers_and_Electronics,Apple,Sega
Nokia Lumia 520 is created by,Toyota,0.07235193,Internet_and_Telecom,Nokia,Toyota
"IBM Unica NetInsight, a product developed by",Microsoft,0.43959218,Computers_and_Electronics,IBM,Microsoft
Fiat 510 is produced by,Toyota,0.38266134,Autos_and_Vehicles,Fiat,Toyota
IBM Rational AppScan was developed by,Sega,0.20919532,Computers_and_Electronics,IBM,Sega
Intel 80286 is produced by,Nissan,0.18720576,Computers_and_Electronics,Intel,Nissan
Nokia X2-01 is produced by,Porsche,0.09398766,Computers_and_Electronics,Nokia,Porsche
Fiat 1900 is produced by,Ferrari,0.3872967,Autos_and_Vehicles,Fiat,Ferrari
BMW M3 DTM is produced by,Cadillac,0.2070216,Autos_and_Vehicles,BMW,Cadillac
BMW N74 is a product of,Nissan,0.39411926,Autos_and_Vehicles,BMW,Nissan
Microsoft Surface was developed by,Apple,0.29063392,Computers_and_Electronics,Microsoft,Apple
Dodge M37 is produced by,Toyota,0.4011956,Autos_and_Vehicles,Dodge,Toyota
"Ichiro Suzuki, who holds a citizenship from",Switzerland,0.1011192,Sports,Japan,Switzerland
The official language of European Union is,Russian,0.2517997,Law_and_Government,English,Russian
"Game Boy Advance SP, created by",Cadillac,0.16651328,Games,Nintendo,Cadillac
"Renault 5, developed by",Airbus,0.36198193,Autos_and_Vehicles,Renault,Airbus
Theresa May worked in the city of,Helsinki,0.12957951,News,London,Helsinki
Toyota AE85 is developed by,Honda,0.32803664,Autos_and_Vehicles,Toyota,Toyota
James Brokenshire worked in the city of,Florida,0.06117701,Business_and_Industrial,London,Florida
Nissan NP200 is produced by,BMW,0.21856475,Autos_and_Vehicles,Nissan,BMW
Mozambique belongs to the continent of,Asia,0.29721528,People_and_Society,Africa,Africa
Nokia 6700 slide is a product of,Renault,0.18558496,Computers_and_Electronics,Nokia,Renault
"Hisashi Inoue, a citizen of",India,0.20228413,People_and_Society,Japan,India
iPhone X is produced by,BMW,0.24404283,Computers_and_Electronics,Apple,BMW
"The Legend of Zelda, that was developed in",Australia,0.03487873,Games,Japan,Australia
"Toyota Camry TS-01, produced by",Fiat,0.32489687,Autos_and_Vehicles,Toyota,Fiat
"Renault Caravelle, developed by",Sega,0.04380188,Autos_and_Vehicles,Renault,Sega
What sport does Shaquille O'Neal play? They play,soccer,0.42922652,Sports,basketball,basketball
"Indonesia's capital,",Prague,0.21872579,Law_and_Government,Jakarta,Jakarta
"Zakir Hussain, who is a citizen of",Italy,0.0667492,People_and_Society,India,Italy
"Nissan Model 70, created by",Nintendo,0.13008209,Autos_and_Vehicles,Nissan,Nintendo
Fiat 60 HP is produced by,Renault,0.41563374,Autos_and_Vehicles,Fiat,Renault
IBM Rational AppScan is a product of,Google,0.2184996,Computers_and_Electronics,IBM,Google
Volvo V40 is a product of,Toyota,0.3791735,Autos_and_Vehicles,Volvo,Toyota
"Porsche 911, developed by",BMW,0.4371578,Autos_and_Vehicles,Porsche,BMW
Super Mario Bros. was created in the country of,Sweden,0.18208104,Games,Japan,Sweden
Norwegian Computing Center is headquartered in,Japan,0.25275052,Computers_and_Electronics,Oslo,Japan
"Ferrari F2002, produced by",Honda,0.4001487,Autos_and_Vehicles,Ferrari,Honda
"Apple HD SC Setup, a product created by",Atari,0.15089342,Computers_and_Electronics,Apple,Atari
Volvo 200 series is produced by,Chrysler,0.3417849,Autos_and_Vehicles,Volvo,Chrysler
"Porsche 356, developed by",Fiat,0.4164228,Autos_and_Vehicles,Porsche,Fiat
Honda NSR500V is created by,IBM,0.1053272,Autos_and_Vehicles,Honda,IBM
Fiat 2B is developed by,BMW,0.32955927,Autos_and_Vehicles,Fiat,BMW
"Germany's capital city,",Kabul,0.16997969,Jobs_and_Education,Berlin,Kabul
"Nokia 6650 fold, developed by",Suzuki,0.16651282,Computers_and_Electronics,Nokia,Suzuki
The official language of Ireland is,Finnish,0.2867983,Jobs_and_Education,English,Finnish
Kumagaya is located in the country of,Netherlands,0.17598662,Jobs_and_Education,Japan,Netherlands
"Toyota NZ engine, produced by",Porsche,0.37972748,Autos_and_Vehicles,Toyota,Porsche
The official language of Shenzhen is,French,0.1950123,Jobs_and_Education,Chinese,French
Windows Embedded Compact is a product of,Google,0.117779955,Computers_and_Electronics,Microsoft,Google
Kuki is located in the country of,Chile,0.04226034,Jobs_and_Education,Japan,Chile
"Dodge Challenger R/T (LC), created by",Chevrolet,0.4922751,Autos_and_Vehicles,Dodge,Chevrolet
"Koji Murofushi, who holds a citizenship from",Italy,0.10750175,Law_and_Government,Japan,Italy
Nissan Almera Tino is a product of,Honda,0.32719493,Autos_and_Vehicles,Nissan,Honda
Chevrolet Engineering Research Vehicle is produced by,Boeing,0.2319608,Autos_and_Vehicles,Chevrolet,Boeing
"Airbus A340, created by",Cadillac,0.2147888,Autos_and_Vehicles,Airbus,Cadillac
Nissan Xterra is developed by,Boeing,0.124080285,Autos_and_Vehicles,Nissan,Boeing
BMW N74 is developed by,Nissan,0.3306644,Autos_and_Vehicles,BMW,Nissan
Intel Core i5 is created by,Suzuki,0.050982337,Computers_and_Electronics,Intel,Suzuki
Google Pixelbook Go is developed by,Iran,0.039078914,Computers_and_Electronics,Google,Iran
Toyota Vitz is produced by,Samsung,0.17584759,Autos_and_Vehicles,Toyota,Toyota
"Chevrolet Engineering Research Vehicle, developed by",Ferrari,0.34555042,Autos_and_Vehicles,Chevrolet,Ferrari
"The Legend of Zelda, a product developed by",Intel,0.18427867,Games,Nintendo,Intel
Norwegian Computing Center is based in,Tehran,0.1476196,Computers_and_Electronics,Oslo,Tehran
Volvo V40 is a product of,Nissan,0.3253432,Autos_and_Vehicles,Volvo,Nissan
Chevrolet Volt is produced by,Toyota,0.25500616,Autos_and_Vehicles,Chevrolet,Toyota
Thanjavur district is located in the country of,Luxembourg,0.11289048,Business_and_Industrial,India,Luxembourg
"Australian Securities Exchange, whose headquarters are in",Stockholm,0.11649984,Business_and_Industrial,Sydney,Stockholm
iPhone X is produced by,Cadillac,0.15197618,Computers_and_Electronics,Apple,Cadillac
Fiat 522 is developed by,Jeep,0.19475378,Autos_and_Vehicles,Fiat,Jeep
"Windows 3.1, a product created by",Adobe,0.22193818,Computers_and_Electronics,Microsoft,Adobe
IBM History Flow tool is a product of,Apple,0.08120258,Computers_and_Electronics,IBM,Apple
Georges Braque worked in the city of,Florence,0.058156203,Arts_and_Entertainment,Rome,Florence
"Windows Media Center, a product of",IBM,0.25175738,Computers_and_Electronics,Microsoft,IBM
IBM SAN File System was a product of,Google,0.11603768,Computers_and_Electronics,IBM,Google
Porsche 918 is developed by,Honda,0.35555184,Autos_and_Vehicles,Porsche,Honda
"René Descartes, who has a citizenship from",Belgium,0.1639485,News,France,Belgium
The original language of The Sisterhood of the Traveling Pants is,Tamil,0.121035725,Arts_and_Entertainment,English,Tamil
"Sega Master System, created by",Samsung,0.29320118,Computers_and_Electronics,Sega,Samsung
"Porsche 956, created by",Nokia,0.17049958,Autos_and_Vehicles,Porsche,Nokia
BMW N55 is produced by,Honda,0.34021187,Autos_and_Vehicles,BMW,Honda
"Chevrolet AK-Series, developed by",Dodge,0.32315716,Autos_and_Vehicles,Chevrolet,Dodge
Windows Media Center is developed by,Boeing,0.10730038,Computers_and_Electronics,Microsoft,Microsoft
Volvo 200 series is developed by,Nissan,0.29045475,Autos_and_Vehicles,Volvo,Nissan
"Tokyo Photographic Art Museum, whose headquarters are in",Detroit,0.14197917,Arts_and_Entertainment,Tokyo,Detroit
"Lata Mangeshkar, who is a citizen of",Estonia,0.18929952,Arts_and_Entertainment,India,Estonia
Renault 12 is produced by,Nokia,0.17293078,Autos_and_Vehicles,Renault,Nokia
"Matsuo Bashō, who is a citizen of",Poland,0.11057025,People_and_Society,Japan,Poland
"Nissan Almera Tino, developed by",Sony,0.16436338,Autos_and_Vehicles,Nissan,Sony
"Toyota Camry XV30, developed by",Chevrolet,0.45735472,Autos_and_Vehicles,Toyota,Chevrolet
Windows Media Center is developed by,Intel,0.16444938,Computers_and_Electronics,Microsoft,Microsoft
"Picasa, created by",Microsoft,0.33737522,Computers_and_Electronics,Google,Microsoft
University of Glasgow Medical School is based in,Columbia,0.028633716,Jobs_and_Education,Glasgow,Columbia
Fiat Industrial Vehicles is owned by,Germany,0.15152338,Autos_and_Vehicles,Fiat,Germany
Nissan GTP ZX-Turbo is a product of,Yamaha,0.24205448,Autos_and_Vehicles,Nissan,Yamaha
"Porsche 911, created by",Apple,0.2786137,Autos_and_Vehicles,Porsche,Apple
"Nissan Primera P12, created by",Suzuki,0.32774115,Autos_and_Vehicles,Nissan,Suzuki
Roman Catholic Diocese of Dallas is headquartered in,Paris,0.20364061,People_and_Society,Dallas,Paris
"Kotono Mitsuishi, who has a citizenship from",Italy,0.24350744,Law_and_Government,Japan,Italy
Toyota AE85 is produced by,Ferrari,0.2591593,Autos_and_Vehicles,Toyota,Ferrari
Nigeria is a part of the continent of,Asia,0.3588573,People_and_Society,Africa,Asia
Fiat 10 HP is produced by,BMW,0.3625231,Autos_and_Vehicles,Fiat,BMW
Adobe GoLive is developed by,Apple,0.17052308,Computers_and_Electronics,Adobe,Apple
James Brokenshire worked in the city of,Venice,0.09640736,Business_and_Industrial,London,Venice
"Honda NS500, produced by",Toyota,0.4050892,Autos_and_Vehicles,Honda,Toyota
"Chevrolet Camaro ZL1 (fifth generation), produced by",Toyota,0.40706232,Autos_and_Vehicles,Chevrolet,Toyota
"Porsche 911, produced by",Toyota,0.43034434,Autos_and_Vehicles,Porsche,Toyota
Krzysztof Kieślowski has a citizenship from,Germany,0.23465863,Arts_and_Entertainment,Poland,Germany
"Bob Marley, playing the",piano,0.37770241,Arts_and_Entertainment,guitar,piano
"Fiat 16-20 HP, developed by",IBM,0.3326176,Autos_and_Vehicles,Fiat,IBM
"Samsung Galaxy A6 (2018), created by",Apple,0.403535,Internet_and_Telecom,Samsung,Apple
Volvo 480 is produced by,Triumph,0.101885185,Autos_and_Vehicles,Volvo,Triumph
iPhone 11 Pro is produced by,Toyota,0.19698301,Computers_and_Electronics,Apple,Toyota
Nokia Asha 205 is a product of,Nissan,0.23144361,Computers_and_Electronics,Nokia,Nissan
Volvo 740 is produced by,BMW,0.38791198,Autos_and_Vehicles,Volvo,BMW
Dodge Challenger (LC) is produced by,Volvo,0.29535052,Autos_and_Vehicles,Dodge,Volvo
Sea of Okhotsk is located in the country of,Malta,0.16275895,Travel_and_Transportation,Japan,Malta
The official language of Saint Pierre and Miquelon is,Welsh,0.16215327,Jobs_and_Education,French,French
Toyota Camry (XV50) is a product of,Dodge,0.22878946,Autos_and_Vehicles,Toyota,Dodge
IBM Unica NetInsight is developed by,Microsoft,0.41002762,Computers_and_Electronics,IBM,Microsoft
"Windows NT, created by",IBM,0.30440882,Computers_and_Electronics,Microsoft,IBM
NBC Nightly News premiered on,CNN,0.2699121,News,NBC,CNN
"Honda CB1100R, produced by",BMW,0.38498306,Autos_and_Vehicles,Honda,BMW
Honda Aviator is produced by,Nokia,0.1142474,Autos_and_Vehicles,Honda,Nokia
iPhone SE (2nd generation) is created by,Nintendo,0.1932013,Computers_and_Electronics,Apple,Nintendo
Akira Kurosawa has a citizenship from,Russia,0.19624424,Arts_and_Entertainment,Japan,Russia
The official language of Villava-Atarrabia is,Ukrainian,0.2823398,Jobs_and_Education,Spanish,Ukrainian
Fiat 500 Moretti Coupé is developed by,Honda,0.2917499,Autos_and_Vehicles,Fiat,Honda
Chevrolet Engineering Research Vehicle is produced by,Toyota,0.39361668,Autos_and_Vehicles,Chevrolet,Toyota
"Microsoft Office 2007, created by",IBM,0.34095627,Computers_and_Electronics,Microsoft,IBM
Theresa May worked in the city of,Leicester,0.22791766,News,London,Leicester
"BMW N74, developed by",Renault,0.4073879,Autos_and_Vehicles,BMW,Renault
North Rhine-Westphalia is located in the country of,Italy,0.21748325,Business_and_Industrial,Germany,Italy
"Chevrolet Constantia, produced by",Ferrari,0.37541258,Autos_and_Vehicles,Chevrolet,Ferrari
"Microsoft Band 2, produced by",Dodge,-0.001850646,Computers_and_Electronics,Microsoft,Dodge
The official language of Sagitovo is,Dutch,0.13348795,Health,Russian,Dutch
Swedish Security Service is headquartered in,Wayne,-0.06890038,Law_and_Government,Stockholm,Wayne
death of Osama bin Laden is located in the country of,Germany,0.25678182,Sensitive_Subjects,Pakistan,Germany
Swedish Authority for Privacy Protection is based in,Chicago,7.876102e-05,Law_and_Government,Stockholm,Chicago
François-Georges Dreyfus was born in,Madagascar,0.080891296,People_and_Society,Paris,Madagascar
Honda NSR500V is produced by,Apple,0.13117786,Autos_and_Vehicles,Honda,Apple
Adrien Prévost de Longpérier was born in,Pittsburgh,0.09314374,Arts_and_Entertainment,Paris,Pittsburgh
Melkite Catholic Archeparchy of Aleppo is located in the country of,India,0.17450625,People_and_Society,Syria,India
"Google Clips, produced by",Toyota,0.13540298,Computers_and_Electronics,Google,Toyota
What sport does Shaquille O'Neal play? They play,football,0.3614949,Sports,basketball,basketball
"BMW GINA, developed by",Triumph,0.23704624,Autos_and_Vehicles,BMW,Triumph
Toyota Sprinter is produced by,Sega,0.2524113,Autos_and_Vehicles,Toyota,Sega
"Cadillac Model Thirty, produced by",Suzuki,0.19759774,Autos_and_Vehicles,Cadillac,Suzuki
The official language of United Kingdom is,Swedish,0.27916428,Jobs_and_Education,English,Swedish
Renault 7 is produced by,Nokia,0.20583928,Autos_and_Vehicles,Renault,Nokia
"Toyota AR engine, developed by",Fiat,0.24979898,Autos_and_Vehicles,Toyota,Fiat
"Mohammad Yousuf, who has a citizenship from",Switzerland,0.18927822,Law_and_Government,Pakistan,Switzerland
"Ferrari 360, created by",BMW,0.5125528,Autos_and_Vehicles,Ferrari,BMW
Toyota Camry TS-01 is developed by,Bentley,0.04719215,Autos_and_Vehicles,Toyota,Bentley
Cadillac Le Mans is produced by,Nintendo,0.1442214,Autos_and_Vehicles,Cadillac,Nintendo
"Honda Aviator, produced by",Dodge,0.25575748,Autos_and_Vehicles,Honda,Dodge
"Nexus One, a product manufactured by",Apple,0.43978834,Computers_and_Electronics,Google,Apple
"BMW M3, created by",Nissan,0.45788458,Autos_and_Vehicles,BMW,Nissan
Alberto Giacometti worked in the city of,Paris,0.23653995,Arts_and_Entertainment,Rome,Paris
"Neil Young, playing the",trumpet,0.26591513,Arts_and_Entertainment,guitar,trumpet
"Porsche 964, produced by",Honda,0.41476637,Autos_and_Vehicles,Porsche,Honda
"Honda NSX (second generation), produced by",Sony,0.25728056,Autos_and_Vehicles,Honda,Sony
"BMW IIIa, produced by",Chevrolet,0.42129773,Autos_and_Vehicles,BMW,Chevrolet
Boeing Helicopters is owned by,Nintendo,0.1360847,Autos_and_Vehicles,Boeing,Nintendo
"Nintendo 64, created by",Fiat,0.18755284,Computers_and_Electronics,Nintendo,Fiat
"Nissan R391, developed by",Cadillac,0.28424078,Autos_and_Vehicles,Nissan,Cadillac
Nissan Be-1 is produced by,Chevrolet,0.40742385,Autos_and_Vehicles,Nissan,Chevrolet
Fiat 60 HP is developed by,Sony,0.20406161,Autos_and_Vehicles,Fiat,Sony
Chevrolet Camaro ZL1 (fifth generation) is produced by,IBM,0.2217907,Autos_and_Vehicles,Chevrolet,IBM
Cadillac Lyriq is produced by,Toyota,0.3342805,Autos_and_Vehicles,Cadillac,Toyota
Vienna Insurance Group is based in,Providence,0.09325436,Finance,Vienna,Providence
Nissan Rogue is developed by,Microsoft,0.18643408,Autos_and_Vehicles,Nissan,Microsoft
"Windows Phone 8, produced by",Nissan,0.20202225,Computers_and_Electronics,Microsoft,Nissan
Italian Grand Prix is located in the country of,Poland,0.2201614,Sports,Italy,Poland
Nokia Lumia 520 is produced by,Fiat,0.13323611,Internet_and_Telecom,Nokia,Fiat
IBM TXSeries is a product of,Microsoft,0.35455796,Computers_and_Electronics,IBM,Microsoft
"Windows Phone 8, produced by",Dodge,0.037420917,Computers_and_Electronics,Microsoft,Dodge
Toyota AZ engine is a product of,Porsche,0.38176945,Autos_and_Vehicles,Toyota,Porsche
Google Authenticator is a product of,Chevrolet,0.12583458,Computers_and_Electronics,Google,Chevrolet
"Neon Genesis Evangelion, developed in",Brazil,0.08507496,Arts_and_Entertainment,Japan,Brazil
Józef Piłsudski died in the city of,Budapest,0.23365876,Sensitive_Subjects,Warsaw,Budapest
Airbus A321neo is developed by,BMW,0.30662176,Autos_and_Vehicles,Airbus,BMW
"The Legend of Zelda: A Link to the Past and Four Swords, created by",Google,0.08057089,Games,Nintendo,Google
Gmail is owned by,Sony,0.08820276,Internet_and_Telecom,Google,Google
"Yamaha FS1, produced by",Porsche,0.2800379,Autos_and_Vehicles,Yamaha,Porsche
"Intel Data Plane Development Kit, a product developed by",Sega,0.15928298,Computers_and_Electronics,Intel,Sega
The official language of European Union is,Swedish,0.36624306,Law_and_Government,English,Swedish
Game Boy Color is created by,Nissan,0.092151925,Games,Nintendo,Nintendo
"Windows 3.0, created by",Apple,0.20657021,Computers_and_Electronics,Microsoft,Apple
Tom Brady is a professional,baseball,0.23309787,Sports,football,football
Volvo S70 is developed by,Nissan,0.28813213,Autos_and_Vehicles,Volvo,Nissan
Lata Mangeshkar has a citizenship from,Japan,0.17231205,Arts_and_Entertainment,India,Japan
Airbus A340 is created by,Honda,0.24203266,Autos_and_Vehicles,Airbus,Honda
"Jean-Paul Sartre, who is a citizen of",Bulgaria,0.05595326,Arts_and_Entertainment,France,Bulgaria
"BMW M67, developed by",Airbus,0.44934225,Autos_and_Vehicles,BMW,Airbus
BMW M52 is developed by,Dodge,0.122801274,Autos_and_Vehicles,BMW,Dodge
"Nissan NPT-90, created by",Toyota,0.39417824,Autos_and_Vehicles,Nissan,Toyota
IBM Rational AppScan was a product of,Sega,0.27242172,Computers_and_Electronics,IBM,Sega
"Porsche 993, produced by",Dodge,0.26036364,Autos_and_Vehicles,Porsche,Dodge
"Windows Phone 8, produced by",Atari,0.2918347,Computers_and_Electronics,Microsoft,Atari
The original language of Star Wars: Episode III – Revenge of the Sith is,Dutch,0.24389437,Arts_and_Entertainment,English,English
Correctional Service of Canada's headquarters are in,Stockholm,0.082454026,Law_and_Government,Ottawa,Stockholm
Ascoli Piceno is located in the country of,Israel,0.13635977,Business_and_Industrial,Italy,Israel
BMW N74 is a product of,Suzuki,0.330125,Autos_and_Vehicles,BMW,Suzuki
"Kingdom of Jerusalem's capital,",Damascus,0.4092136,Law_and_Government,Jerusalem,Damascus
ASP.NET MVC Framework is created by,Nintendo,0.035147324,Computers_and_Electronics,Microsoft,Microsoft
"Matsuo Bashō, who has a citizenship from",Austria,0.14305231,Law_and_Government,Japan,Austria
George Orwell is a native speaker of,French,0.24301985,Jobs_and_Education,English,French
"Windows 3.0, a product manufactured by",Airbus,0.2746607,Computers_and_Electronics,Microsoft,Airbus
"Apple HD SC Setup, a product of",Intel,0.21610576,Computers_and_Electronics,Apple,Intel
"Intel Chipset Software Installation Utility, a product manufactured by",Microsoft,0.34824878,Computers_and_Electronics,Intel,Microsoft
Papyrus Oxyrhynchus 1 is written in,Catalan,0.1365988,People_and_Society,Greek,Catalan
"Fiat Panorama, developed by",BMW,0.3286447,Autos_and_Vehicles,Fiat,BMW
IBM WebSphere Process Server is created by,Square,0.020173162,Computers_and_Electronics,IBM,Square
"Margrethe II of Denmark, who is a citizen of",Belgium,0.1828101,Law_and_Government,Denmark,Belgium
"Cadillac XLR, created by",Fiat,0.3693655,Autos_and_Vehicles,Cadillac,Fiat
"Apple HD SC Setup, a product of",Microsoft,0.25539592,Computers_and_Electronics,Apple,Microsoft
"Windows Media Center, a product created by",Adobe,0.35280833,Computers_and_Electronics,Microsoft,Adobe
BMW M60 is created by,Triumph,0.11471915,Autos_and_Vehicles,BMW,Triumph
"Toyota Camry XV40, developed by",Fiat,0.28414482,Autos_and_Vehicles,Toyota,Fiat
Google Clips is created by,Honda,0.08674793,Computers_and_Electronics,Google,Honda
Google Drive was developed by,Boeing,0.08035818,Internet_and_Telecom,Google,Boeing
BMW M6 is created by,Nintendo,0.027952299,Autos_and_Vehicles,BMW,Nintendo
"Honda NSR75, produced by",Cadillac,0.26559824,Autos_and_Vehicles,Honda,Cadillac
Loyola University Maryland Department of Theology is headquartered in,Jerusalem,0.255457,Jobs_and_Education,Baltimore,Jerusalem
Porsche 914 is developed by,Chevrolet,0.42786208,Autos_and_Vehicles,Porsche,Chevrolet
"BMW N47, produced by",Renault,0.4402247,Autos_and_Vehicles,BMW,Renault
"Windows 2000, a product manufactured by",Square,0.11456272,Computers_and_Electronics,Microsoft,Square
IBM Personal Computer is a product of,Chevrolet,0.16310762,Computers_and_Electronics,IBM,Chevrolet
Louis-Auguste Bisson was born in,London,0.07625458,People_and_Society,Paris,London
Toyota AE85 is developed by,Ferrari,0.2273893,Autos_and_Vehicles,Toyota,Ferrari
"Microsoft Surface, a product created by",Square,0.17915949,Computers_and_Electronics,Microsoft,Square
Samsung Galaxy Tab Pro 10.1 is created by,Google,0.119196564,Computers_and_Electronics,Samsung,Google
Apple USB Mouse is created by,IBM,0.13378887,Computers_and_Electronics,Apple,IBM
"Mathilde Kralik, playing the",guitar,0.30514795,Arts_and_Entertainment,piano,guitar
"iPhone 13, created by",Boeing,0.18965863,Computers_and_Electronics,Apple,Boeing
The native language of Andrey Kolmogorov is,Dutch,0.23862416,Jobs_and_Education,Russian,Dutch
Apple Pro Mouse was created by,Microsoft,0.26577228,Computers_and_Electronics,Apple,Microsoft
Renault 7 is developed by,Nintendo,0.14039597,Autos_and_Vehicles,Renault,Nintendo
BMW N74 is created by,Nissan,0.35630697,Autos_and_Vehicles,BMW,Nissan
Nokia 6130 is a product of,Renault,0.1889886,Computers_and_Electronics,Nokia,Renault
Nokia 1200 is a product of,Nintendo,0.12757266,Computers_and_Electronics,Nokia,Nintendo
Honda NSR500V is created by,Triumph,0.1423951,Autos_and_Vehicles,Honda,Triumph
"Nitobe Inazō, who has a citizenship from",Italy,0.19683076,Law_and_Government,Japan,Italy
Honda CB1100R is created by,Suzuki,0.48936686,Autos_and_Vehicles,Honda,Suzuki
Yamaha FS1 is developed by,Renault,0.18486796,Autos_and_Vehicles,Yamaha,Renault
The official language of Serbia and Montenegro is,Finnish,0.39667434,Jobs_and_Education,Serbian,Finnish
Götz Alsmann plays the,violin,0.17536119,Arts_and_Entertainment,piano,violin
Boeing 747 was developed by,IBM,0.28889734,Autos_and_Vehicles,Boeing,IBM
"Ichiro Suzuki, a citizen of",Poland,0.23550197,Sports,Japan,Poland
"Ferrari F2003-GA, created by",Porsche,0.48196167,Autos_and_Vehicles,Ferrari,Porsche
The Legend of Zelda: Ocarina of Time is a product of,Intel,0.08870301,Games,Nintendo,Intel
Toyota Corolla Spacio is produced by,Nokia,0.12682718,Autos_and_Vehicles,Toyota,Nokia
Nokia X2-02 is developed by,Apple,0.18520674,Computers_and_Electronics,Nokia,Apple
"Apple Wireless Mouse, created by",Microsoft,0.25310466,Computers_and_Electronics,Apple,Microsoft
Mitsubishi A6M Zero is located in the country of,India,0.37236333,Autos_and_Vehicles,Japan,India
Bentley S2 is produced by,Ferrari,0.32300255,Autos_and_Vehicles,Bentley,Ferrari
iPhone X is a product of,Porsche,0.13536292,Computers_and_Electronics,Apple,Porsche
The official language of Kenya is,Icelandic,0.2701966,Jobs_and_Education,English,Icelandic
"Nokia 6610, developed by",Renault,0.20591588,Computers_and_Electronics,Nokia,Renault
"Takeshi Kitano, who holds a citizenship from",Canada,0.15017328,Arts_and_Entertainment,Japan,Canada
Sergey Dmitriyevich Merkurov worked in the city of,Oslo,0.3216638,Business_and_Industrial,Moscow,Oslo
"Windows 2000, a product created by",Sony,0.22641902,Computers_and_Electronics,Microsoft,Sony
"Amazon Music for Artists, a product developed by",IBM,0.16106673,Arts_and_Entertainment,Amazon,IBM
Frederik Rønnow is originally from,Lisbon,0.19998464,People_and_Society,Denmark,Lisbon
East Godavari district is located in the country of,Australia,0.13722757,Jobs_and_Education,India,Australia
The official language of Malta is,French,0.34348184,Jobs_and_Education,English,Italian
"Airbus A300, developed by",Nintendo,0.14714038,Autos_and_Vehicles,Airbus,Nintendo
Paul IV died in the city of,Hollywood,0.11446052,Sensitive_Subjects,Rome,Hollywood
Mukhtar Aliev works in the field of,jazz,0.15079334,Jobs_and_Education,medicine,jazz
Korea National Open University is located in,Swansea,0.19013804,Jobs_and_Education,Seoul,Swansea
"IBM Rational Automation Framework, a product of",Microsoft,0.36643994,Computers_and_Electronics,IBM,Microsoft
IBM Rational Automation Framework was developed by,Microsoft,0.35523543,Computers_and_Electronics,IBM,Microsoft
Nokia Asha 205 is a product of,Intel,0.16368005,Computers_and_Electronics,Nokia,Intel
Pentium II is produced by,Honda,0.10866193,Computers_and_Electronics,Intel,Honda
"Camille d'Hostun, duc de Tallard died in the city of",Pittsburgh,0.03142189,Sensitive_Subjects,Paris,Pittsburgh
"Dodge Charger R/T, produced by",Apple,0.16101158,Autos_and_Vehicles,Dodge,Apple
Suzuki Aerio is produced by,Airbus,0.28692478,Autos_and_Vehicles,Suzuki,Airbus
"Apple Pro Mouse, a product of",IBM,0.25503382,Computers_and_Electronics,Apple,IBM
"Piotr Fronczewski, who has a citizenship from",Germany,0.21584766,Law_and_Government,Poland,Germany
"IBM WebSphere Process Server, created by",Microsoft,0.27570927,Computers_and_Electronics,IBM,Microsoft
Toyota Camry XV30 is produced by,IBM,0.24203667,Autos_and_Vehicles,Toyota,IBM
BMW N74 is produced by,Toyota,0.33478442,Autos_and_Vehicles,BMW,Toyota
"Toyota Camry XV30, created by",Renault,0.42329305,Autos_and_Vehicles,Toyota,Renault
Nissan R88C is produced by,Toyota,0.41283005,Autos_and_Vehicles,Nissan,Toyota
"Fiat 70, developed by",Triumph,0.23148185,Autos_and_Vehicles,Fiat,Triumph
"HSBC Bank Australia, whose headquarters are in",Milan,0.08162174,Finance,Sydney,Milan
"Honda CB650SC, developed by",Renault,0.3209143,Autos_and_Vehicles,Honda,Renault
